vehicle_id,vehicle_type,battery_capacity_kwh,vehicle_model,vehicle_age,motor_power_kw,vehicle_weight_kg,state_of_charge,battery_temperature,battery_voltage,battery_current,battery_cycles,battery_health,charging_type,charging_time,average_speed,maximum_speed,acceleration,driving_style,distance_travelled,regenerative_braking,outside_temperature,humidity,road_condition,traffic_level,terrain,wind_speed,ac_usage,passenger_load,headlight_usage,infotainment_usage,energy_consumption_kwh_per_100km,estimated_range_km
EV100000,Scooty,5.03,Ather 450X,7.88,3.67,97.8,48.05,39.05,68.33,9.56,1521,87.54,AC,0.57,50.99,78.72,1.77,Normal,114.31,71.59,17.7,50.32,Poor,High,Hilly,17.86,High,1,On,On,8.0,26.43
EV100001,Car,28.51,Hyundai Ioniq 5,11.99,42.02,1669.2,41.78,40.57,402.35,44.95,1888,80.48,AC,3.67,15.18,71.79,2.78,Normal,144.84,69.47,24.84,64.65,Good,Medium,Flat,9.78,Medium,4,On,Off,23.43,40.92
EV100002,Bus,154.78,Ashok Leyland Switch,5.62,150.21,8231.3,21.43,22.42,696.31,256.25,523,90.64,Depot Fast,0.89,22.81,64.55,1.53,Eco,233.79,60.76,37.16,72.17,Excellent,Medium,Flat,7.7,Low,13,Off,On,132.98,22.61
EV100003,Scooty,6.44,Bajaj Chetak,7.01,10.02,111.5,24.78,12.94,46.13,16.88,1025,88.3,Fast Charging,1.04,48.69,77.03,2.69,Aggressive,72.78,39.54,36.11,68.61,Good,High,Flat,13.6,Low,1,Off,On,8.0,17.61
EV100004,Car,59.79,BYD Atto 3,5.16,101.76,1897.4,50.13,30.43,394.63,29.56,1352,89.72,DC Fast,0.84,61.42,88.3,4.6,Eco,117.07,69.53,31.44,73.71,Average,Low,Flat,8.34,Off,2,Off,Off,20.12,133.63
EV100005,Bus,327.26,JBM ECOLIFE,10.48,217.23,12076.5,34.92,33.29,666.36,313.03,1899,86.26,DC Fast,3.8,28.49,73.98,1.55,Aggressive,333.71,76.5,18.74,50.64,Poor,High,Hilly,19.02,Off,17,On,On,120.78,81.61
EV100006,Scooty,6.91,Ather 450X,4.62,6.47,139.1,75.47,32.29,61.43,52.1,1348,90.42,Fast Charging,1.31,26.49,95.07,2.46,Normal,52.58,63.03,19.74,56.3,Good,Very High,Flat,14.86,Low,1,On,Off,8.0,58.97
EV100007,Scooty,5.86,TVS iQube,2.73,3.07,91.1,43.7,28.65,63.87,33.62,1035,95.62,AC,0.62,43.26,69.98,1.62,Aggressive,92.07,75.67,21.15,78.43,Good,Low,Flat,2.77,Medium,1,Off,Off,8.0,30.63
EV100008,Car,37.54,Tata Tiago EV,6.34,113.08,1475.6,54.54,31.11,340.5,92.2,1097,88.65,AC,4.96,50.8,91.34,2.34,Normal,96.02,42.88,30.26,62.46,Average,Medium,Mixed,3.03,Low,3,Off,On,22.8,79.62
EV100009,Car,31.82,MG ZS EV,1.64,80.05,2003.9,54.29,36.8,317.07,108.04,748,95.1,AC,4.18,55.13,88.66,2.3,Normal,130.98,70.85,34.92,83.95,Good,High,Flat,21.28,High,4,On,On,24.77,66.32
EV100010,Car,45.61,MG ZS EV,2.51,145.7,1513.9,80.76,33.27,372.75,62.67,1123,95.82,AC,4.55,43.87,80.73,2.12,Eco,132.56,81.96,28.83,54.68,Good,High,Mixed,10.4,Medium,3,Off,On,23.33,151.25
EV100011,Bus,275.93,JBM ECOLIFE,13.58,161.81,16704.9,28.27,25.11,578.23,351.02,2325,72.88,Depot Fast,1.58,30.07,62.07,1.79,Eco,300.72,58.2,25.03,37.66,Good,High,Flat,18.64,Medium,22,Off,Off,137.81,41.25
EV100012,Scooty,6.58,Bajaj Chetak,2.7,3.45,106.0,77.53,34.9,58.38,21.3,832,93.3,AC,0.65,26.72,98.6,1.83,Normal,140.71,67.03,29.11,86.55,Good,Medium,Mixed,11.32,Medium,1,On,On,8.0,59.5
EV100013,Scooty,7.02,Ather 450X,7.3,10.85,104.1,92.65,27.84,53.36,13.69,807,87.92,Fast Charging,0.92,36.94,107.41,1.74,Normal,11.65,59.91,36.85,57.71,Excellent,Medium,Mixed,10.7,Off,1,On,On,8.0,71.47
EV100014,Car,65.61,Tata Nexon EV,3.29,74.53,1389.4,69.68,29.15,322.72,34.95,669,92.87,AC,7.18,70.0,120.31,1.67,Normal,111.24,69.87,35.34,73.82,Good,Medium,Flat,19.09,Off,4,On,On,19.79,214.5
EV100015,Car,75.28,MG ZS EV,7.31,125.53,2045.6,74.5,21.9,361.21,38.19,1524,88.18,DC Fast,1.05,10.66,46.77,1.03,Aggressive,50.65,49.03,36.22,61.13,Excellent,Medium,Mixed,8.49,Low,5,On,On,27.34,180.88
EV100016,Car,61.21,Tata Nexon EV,9.67,100.11,1568.8,59.4,41.11,387.82,61.14,1594,85.55,AC,6.88,47.48,102.01,1.51,Normal,180.2,60.4,32.32,67.19,Average,Low,Flat,5.9,Medium,3,Off,On,18.5,168.17
EV100017,Car,53.51,Hyundai Ioniq 5,3.28,120.6,2298.6,24.25,24.05,308.84,64.52,888,94.8,DC Fast,0.69,59.05,92.46,2.15,Aggressive,371.86,53.16,26.04,81.37,Average,Medium,Hilly,6.25,Off,4,Off,On,33.02,37.26
EV100018,Scooty,3.29,Ather 450X,7.49,4.85,153.8,24.91,34.28,59.98,46.16,1382,87.21,Fast Charging,0.55,43.14,122.35,1.24,Normal,138.11,45.69,30.08,42.96,Poor,Very High,Flat,16.88,Medium,1,Off,On,8.0,8.93
